gene,pval_hr6_vs_0,ratio_hr6_vs_0,pval_day1_vs_0,ratio_day1_vs_0,pval_day3_vs_0,ratio_day3_vs_0,pval_day7_vs_0,ratio_day7_vs_0
A1BG,0.161401,0.881776,0.207777,0.91995,0.146526,0.87762,0.593743,0.953576
A1CF,0.391671,0.959703,0.41232,1.02949,0.691183,1.0192,0.776319,0.986492
A2M,0.791075,0.944951,0.0058607,1.57038,0.826029,0.954112,0.949556,0.986573
A2ML1,0.0309453,0.820747,0.0553732,0.879047,0.362553,0.921447,0.48749,0.93962
A4GALT,0.359688,0.909414,0.00856075,1.23045,0.779175,1.02938,0.718931,1.03788
A4GNT,0.71241,0.973911,0.949443,1.00336,0.439895,1.05708,0.0863084,1.13281
AAAS,0.0297588,1.1425,6.46E-06,0.801763,0.50934,0.961164,0.928712,1.00537
AACS,0.647159,0.974477,0.0112564,0.896725,0.0577467,0.896753,0.201222,0.929885
AADAC,0.180571,0.940555,0.602572,0.98268,0.112611,0.929719,0.794189,1.01191
AADACL2,0.470148,0.955258,0.196875,0.941066,0.958702,0.996732,0.367099,1.05891
AADAT,0.15173,0.924321,0.00973538,0.898323,0.873093,0.991355,0.99042,1.00065
AAGAB,0.291244,1.11672,0.000964051,1.30686,0.839063,0.979088,0.973998,1.0034
AAK1,0.329794,1.12997,0.00150331,0.735319,0.400801,0.900126,0.706005,1.04824
AAMDC,0.99046,0.998221,0.675736,1.04711,0.375663,1.14158,0.633335,1.0737
AAMP,0.511377,1.06565,0.591588,1.03909,0.516542,1.06482,0.778632,1.02754
AANAT,0.0664856,0.808571,0.4587,0.939412,0.190261,0.860329,0.0463942,0.793498
AAR2,0.71876,0.962639,0.0806602,1.1484,0.0182606,1.29214,0.280403,1.12155
AARS,0.276947,1.0608,0.00352932,1.12894,0.110263,1.09121,0.394147,1.04724
AARS2,0.910475,0.994376,0.0355868,0.923541,0.614942,1.02558,0.441743,1.03945
AASDH,0.680609,1.14036,0.260519,0.766001,0.585792,1.19004,0.996241,1.0015
AASDHPPT,0.141491,1.14693,0.134811,1.10851,0.0673891,1.18713,0.400665,1.08092
AASS,0.644681,1.04537,0.733821,1.02445,0.64504,0.956646,0.415081,1.08176
AATBC,0.302633,0.839489,0.568184,1.07389,0.437074,1.14067,0.578312,0.910281
AATF,0.367442,1.1358,0.383988,0.913184,0.482422,1.10416,0.599276,1.07686
AATK-AS1,0.116469,0.867311,0.513318,0.957577,0.0850113,0.855066,0.551818,0.94799
ABAT,0.0610201,0.775282,0.0175825,0.786034,0.392722,0.891757,0.00852333,0.695258
ABCA1,0.886139,1.05494,8.85E-07,4.62398,0.305798,1.46875,0.895846,0.952281
ABCA10,0.0084193,0.897392,0.0202847,0.932489,0.343401,0.962912,0.597607,1.02121
ABCA12,0.319968,0.94978,0.543246,0.977076,0.888229,0.992779,0.541473,1.03204
ABCA13,0.238669,0.929045,0.348206,1.04411,0.891697,0.991588,0.468869,1.04608
